title;budget;genres;original_language;release_date;revenue;runtime;vote_average;vote_count
VHS Massacre - Cult Films and the Decline of Physical Media;0;Documentary;en;2016-06-20;0;72;5.4;7
Murder, She Baked - A Deadly Recipe;0;TV Movie | Mystery;en;2016-06-19;0;84;7.1;7
First Born;0;Horror;en;2016-06-19;0;86;5.5;20
The Secret Life of Pets;75000000;Animation | Family;en;2016-06-18;875457937;87;5.9;3536
Mother, May I Sleep with Danger?;0;Thriller | TV Movie;en;2016-06-18;0;86;5.4;15
The Convenient Groom;0;TV Movie | Romance;en;2016-06-18;0;84;6.0;4
Creepy;0;Mystery | Thriller;ja;2016-06-18;0;130;6.3;27
Sadako vs. Kayako;0;Thriller | Horror;ja;2016-06-18;0;98;5.5;39
The Tribe;0;Thriller | Drama | Science Fiction;en;2016-06-18;0;97;5.3;3
Neruda;0;Drama;es;2016-06-17;939101;108;6.1;58
Udta Punjab;5980000;Thriller | Crime | Drama;hi;2016-06-17;14900000;149;7.4;32
Gentleman;0;Romance | Thriller;te;2016-06-17;0;152;8.5;2
The Last Heist;0;Action;en;2016-06-17;0;84;4.9;24
Mapplethorpe - Look at the Pictures;0;Documentary;en;2016-06-16;0;105;7.7;11
Finding Dory;200000000;Adventure | Animation | Comedy | Family;en;2016-06-16;1028570889;97;6.8;4333
The Fundamentals of Caring;0;Comedy | Drama;en;2016-06-16;0;93;7.4;560
Classmates;0;Romance | Comedy;ru;2016-06-16;0;80;4.1;8
Central Intelligence;50000000;Action | Comedy;en;2016-06-15;216972543;107;6.2;1699
Struggle for Life;0;Comedy;fr;2016-06-15;0;99;5.8;26
The Ideal;0;Comedy;fr;2016-06-15;0;90;5.3;53
Range 15;0;Horror | Comedy;en;2016-06-15;0;89;4.8;20
In the Forests of Siberia;3500000;Drama | Adventure;fr;2016-06-15;1492523;105;7.3;34
Gridlocked;0;Action;en;2016-06-14;0;114;5.2;42
The Bronx Bull;7000000;Drama;en;2016-06-13;0;94;5.7;8
Aurora;0;Thriller | Romance | Science Fiction;en;2016-06-10;0;107;4.5;3
Be Somebody;0;Drama | Comedy | Romance;en;2016-06-10;0;88;6.6;34
Genius;0;Drama | History;en;2016-06-10;5681622;104;6.5;174
Te3n;5069632;Mystery | Thriller | Drama;hi;2016-06-10;4817642;136;6.8;23
De Palma;0;Documentary;en;2016-06-10;0;108;7.3;33
Traded;0;Western;en;2016-06-10;0;98;4.8;17
Madaari;0;Thriller;hi;2016-06-10;0;134;7.9;11
Arrowhead;0;Action | Adventure | Mystery | Science Fiction;en;2016-06-09;0;95;4.6;32
Bosch. The Garden of Dreams;0;Documentary;es;2016-06-09;0;90;0.0;0
The Neon Demon;7000000;Thriller | Horror;en;2016-06-08;1333124;117;6.4;926
The African Doctor;0;Comedy | Drama;fr;2016-06-08;0;96;6.6;112
Never Back Down - No Surrender;0;Drama | Action;en;2016-06-07;0;101;6.8;72
The Sweet Life;0;Romance | Drama | Comedy;en;2016-06-07;0;90;6.4;7
Casual Encounters;0;Comedy;en;2016-06-07;0;82;4.0;9
Allen Iverson - The Answer;0;Documentary | TV Movie;en;2016-06-06;0;46;9.0;1
Ms. Matched;0;Comedy | Romance | TV Movie;en;2016-06-04;0;84;6.2;8
Mercy;0;Thriller;en;2016-06-04;0;82;4.1;38
The Kodai Family;0;Romance | Comedy;ja;2016-06-04;0;116;8.7;3
Hopeless Romantic;0;TV Movie | Romance;en;2016-06-04;0;86;4.3;3
Popstar - Never Stop Never Stopping;0;Comedy | Music;en;2016-06-03;9496130;86;6.6;348
Bo Burnham - Make Happy;0;Music | Comedy;en;2016-06-03;0;60;8.4;56
Approaching the Unknown;0;Thriller | Drama | Science Fiction;en;2016-06-03;0;90;5.1;89
Girl in Woods;0;Drama | Horror | Thriller;en;2016-06-03;0;87;4.8;10
Housefull 3;0;Comedy | Romance;hi;2016-06-03;0;140;5.2;24
The Cliff;0;Romance | Thriller;es;2016-06-03;0;99;5.2;6
Opening Night;0;Comedy | Music;en;2016-06-03;0;90;6.5;16
Hurricane Bianca;0;Comedy;en;2016-06-03;0;84;6.3;63
Wedding Bells;0;TV Movie | Romance;en;2016-06-03;0;84;5.5;3
Ben Gleib - Neurotic Gangster;0;Comedy;en;2016-06-03;0;59;0.0;0
Me Before You;20000000;Drama | Romance;en;2016-06-02;207945075;110;7.6;2674
Now You See Me 2;90000000;Action | Adventure | Comedy | Crime | Mystery | Thriller;en;2016-06-02;334901337;129;6.7;3362
Three;0;Thriller | Crime | Action;cn;2016-06-02;0;88;5.8;19
Beyond the Gates;0;Adventure | Horror;en;2016-06-02;0;84;4.9;57
Ukonvaaja;0;Documentary;fi;2016-06-02;0;88;5.0;1
Stefan Zweig - Farewell to Europe;0;Drama | History;de;2016-06-02;0;106;7.3;11
The Handmaiden;8575000;Thriller | Drama | Romance;ko;2016-06-01;1983204;145;8.1;453
The BFG;140000000;Adventure | Family | Fantasy;en;2016-06-01;183345589;120;6.0;1026
Teenage Mutant Ninja Turtles - Out of the Shadows;135000000;Fantasy | Action | Adventure | Comedy;en;2016-06-01;245623848;112;5.8;984
Apprentice;0;Drama;ms;2016-06-01;0;96;8.1;14
The Dark Below;0;Thriller;en;2016-06-01;0;75;4.7;3
Passage to Mars;0;Adventure | Documentary | Science Fiction;en;2016-05-31;0;94;4.8;4
Dark Signal;0;Mystery | Thriller | Horror;en;2016-05-30;0;98;3.7;13
Rising Fear;0;Action;en;2016-05-30;0;94;6.3;3
The Do-Over;0;Action | Adventure | Comedy;en;2016-05-27;0;109;5.6;468
Presenting Princess Shaw;0;Documentary;en;2016-05-27;0;83;6.7;3
You Will Know What to Do With Me;0;Drama;es;2016-05-27;0;88;6.0;1
Sour Grapes;0;Documentary;en;2016-05-27;0;86;8.3;15
Esteros;0;Comedy | Drama | Romance;es;2016-05-27;0;83;7.1;15
Point Zero;0;Thriller | Drama;pt;2016-05-26;0;87;4.0;1
Blood on the Mountain;0;Documentary;en;2016-05-26;0;93;8.7;3
Warcraft;160000000;Action | Adventure | Fantasy;en;2016-05-25;433677183;123;6.3;2325
Alice Through the Looking Glass;170000000;Family | Fantasy;en;2016-05-25;299370084;113;6.5;1782
KISS - Rocks Vegas;0;Music;en;2016-05-25;0;105;0.0;0
Elle;9804690;Drama | Thriller;fr;2016-05-25;2341534;130;6.6;498
Fiore;0;;it;2016-05-25;0;110;6.2;32
Dusk;0;Drama | Thriller;en;2016-05-24;0;91;5.9;10
All the Way;0;Drama | History | TV Movie;en;2016-05-23;0;132;6.6;90
Fender Bender;0;Horror | Thriller;en;2016-05-23;0;91;5.0;33
Judging Japan;0;Documentary;en;2016-05-22;0;52;0.0;0
Dan Soder - Not Special;0;Comedy;en;2016-05-21;0;60;0.0;0
After the Storm;0;Drama;ja;2016-05-21;0;117;7.2;55
Zebra;0;Thriller;ja;2016-05-21;0;103;5.0;1
Date with Love;0;Comedy | TV Movie | Romance;en;2016-05-21;0;84;6.8;14
The Blackout Experiments;0;Horror | Documentary;en;2016-05-21;0;80;5.0;3
Manhattan Night;0;Drama | Mystery | Thriller;en;2016-05-20;0;113;6.1;115
Graduation;2000000;Drama;ro;2016-05-20;343617;127;6.7;54
Weiner;0;Documentary;en;2016-05-20;0;96;7.7;51
Hard Sell;0;Comedy;en;2016-05-20;0;96;5.6;13
Back in the Day;0;Drama;en;2016-05-20;0;121;2.8;97
The Architect;0;Drama | Comedy;en;2016-05-20;0;95;4.8;9
Parallel Courses;0;Drama;es;2016-05-20;0;90;4.0;4
Happy Wedding;0;Comedy | Drama | Romance;ml;2016-05-20;0;128;4.7;5
Kammatipaadam;1500000;Crime | Drama;ml;2016-05-20;0;177;8.1;9
Brad Williams - Daddy Issues;0;Comedy;en;2016-05-20;0;61;9.0;1
Departure;0;Drama | Romance | Family;en;2016-05-20;0;109;7.2;14
Lily Lane;0;Drama;hu;2016-05-19;0;91;0.0;0
Cartels;7000000;Action;en;2016-05-19;0;99;5.0;13
Canola;0;Family | Drama;ko;2016-05-19;0;116;7.8;4
X-Men - Apocalypse;178000000;Science Fiction;en;2016-05-18;543934787;144;6.4;4831
The Ghost and the Whale;0;Thriller | Drama | Mystery;en;2016-05-17;0;105;0.0;0
Kindergarten Cop 2;0;Action | Comedy;en;2016-05-17;0;100;4.6;63
Like Crazy;0;Drama | Comedy;it;2016-05-17;0;116;7.3;187
Cyborg X;1000000;Action | Horror | Science Fiction;en;2016-05-17;0;90;4.6;13
Highly Strung;0;;en;2016-05-16;0;90;0.0;0
Sundown;0;Romance | Comedy;en;2016-05-16;0;103;5.9;30
The Nice Guys;50000000;Action | Comedy | Crime | Thriller;en;2016-05-15;62788218;116;7.0;2382
The Untamed;0;Science Fiction | Drama | Thriller | Horror;es;2016-05-15;0;100;5.9;14
Shared Rooms;0;;en;2016-05-14;0;75;5.6;5
Bright Lights - Starring Carrie Fisher and Debbie Reynolds;0;Documentary;en;2016-05-14;0;95;7.4;26
Tulips in Spring;0;Drama | TV Movie | Romance;en;2016-05-14;0;84;5.1;4
If Cats Disappeared From the World;0;Drama;ja;2016-05-14;0;102;7.8;12
Last Days in the Desert;0;Adventure | Drama | History;en;2016-05-13;0;98;4.4;46
Under the Gun;0;Documentary;en;2016-05-13;0;110;6.2;9
Kill Command;0;Action | Horror | Science Fiction;en;2016-05-13;0;99;5.2;203
Azhar;0;Drama;hi;2016-05-13;0;130;5.6;11
The Darkness;4000000;Horror | Thriller;en;2016-05-13;10898293;92;4.5;162
The Conjuring 2;40000000;Horror;en;2016-05-13;320170008;134;7.0;2018
The Asian Connection;0;Action;en;2016-05-13;0;91;4.1;13
Slack Bay;0;Drama | Comedy;fr;2016-05-13;112481;122;5.7;68
Summer Camp;0;Horror;en;2016-05-13;0;81;5.1;41
Why Blame It on the Child?;0;Comedy | Romance;es;2016-05-13;0;105;6.7;87
Buddha in a Traffic Jam;0;Thriller | Crime;hi;2016-05-13;0;114;5.0;1
Michael Ian Black - Noted Expert;0;Comedy;en;2016-05-13;0;60;7.7;3
Money Monster;27000000;Thriller;en;2016-05-12;93282604;98;6.5;1096
The Wailing;0;Horror | Mystery;ko;2016-05-12;0;156;7.2;257
Loev;0;Drama | Romance;hi;2016-05-12;0;90;5.4;19
The Angry Birds Movie;73000000;Family | Animation;en;2016-05-11;349779543;97;5.9;1048
Café Society;30000000;Comedy | Drama | Romance;en;2016-05-11;43763247;96;6.4;826
Brexit - The Movie;430000;Documentary;en;2016-05-11;0;71;6.3;3
A Billion Lives;0;Documentary;en;2016-05-11;0;94;9.5;6
The Polar Boy;0;Drama;et;2016-05-10;0;97;0.0;0
Florence Foster Jenkins;29000000;Comedy | Drama;en;2016-05-06;48902953;110;6.7;409
Mothers and Daughters;0;Drama;en;2016-05-06;0;90;5.1;34
The Offering;0;Mystery | Thriller | Horror;en;2016-05-06;0;95;4.5;33
Ali Wong - Baby Cobra;0;Comedy;en;2016-05-06;0;60;8.0;21
Pelé - Birth of a Legend;0;Drama;en;2016-05-06;27312;107;7.3;175
Lifeline;0;Thriller;en;2016-05-06;0;32;0.0;0
Code of Honor;8000000;Action | Crime | Thriller;en;2016-05-06;0;106;4.1;17
A Light Beneath Their Feet;0;Drama;en;2016-05-06;0;89;6.3;3
Pet Fooled;0;Documentary;en;2016-05-06;0;70;7.3;3
Our Kind of Traitor;0;Thriller;en;2016-05-05;9930095;108;6.0;162
My Scientology Movie;0;Documentary;en;2016-05-05;0;99;6.6;105
The Curse of Sleeping Beauty;0;Fantasy | Mystery | Thriller;en;2016-05-05;0;89;4.0;46
Take Down;0;Action | Drama | Thriller;en;2016-05-05;0;107;5.9;34
Garfunkel and Oates - Trying to be Special;0;Comedy;en;2016-05-05;0;62;7.7;6
The Beginning of Life;0;Documentary;pt;2016-05-05;0;98;8.6;9
24;10000000;Action | Science Fiction | Thriller;ta;2016-05-05;15000000;164;7.1;22
Neighbors 2 - Sorority Rising;35000000;Comedy;en;2016-05-04;108758521;91;5.6;1490
Up for Love;0;Comedy | Romance;fr;2016-05-04;0;98;6.0;199
Phantom Detective;0;Action | Drama;ko;2016-05-04;0;125;7.1;11
Tini - The New Life of Violetta;0;Comedy | Drama | Music;es;2016-05-04;0;95;6.8;85
Death by Death;0;Comedy | Drama;fr;2016-05-04;0;90;4.0;4
Restoration;0;Horror;en;2016-05-03;0;90;5.3;11
Eat that Question - Frank Zappa in His Own Words;0;Music | Documentary;en;2016-05-03;0;88;8.3;3
Crossing Point;0;Action | Thriller;en;2016-05-03;0;92;5.7;8
Raising the Bar;600000;Family;en;2016-05-02;0;93;6.0;10
Wizard Mode;0;Documentary;en;2016-05-02;0;82;7.0;5
The Apology;0;Documentary;en;2016-04-30;0;105;2.5;1
Do Not Resist;0;Documentary;en;2016-04-30;0;70;6.6;8
Chris Hardwick - Funcomfortable;0;Comedy;en;2016-04-30;0;74;7.0;3
The Trust;9000000;Crime | Thriller;en;2016-04-29;0;93;4.8;159
Sacrifice;0;Thriller;en;2016-04-29;0;91;4.9;59
Sairat;0;Drama;mr;2016-04-29;0;170;8.7;7
Finding Mr. Right 2;0;Romance;zh;2016-04-29;0;132;5.0;9
Zoombies;0;Science Fiction | Action | Horror;en;2016-04-29;0;90;3.9;32
A Beautiful Planet;0;Documentary;en;2016-04-29;0;45;6.3;12
Terra Formars;0;Action | Horror | Science Fiction;ja;2016-04-29;0;109;4.8;18
Phantom of the Theatre;0;Drama | Horror | Mystery;zh;2016-04-29;0;103;6.4;4
Baaghi;0;Action | Romance | Thriller;hi;2016-04-29;0;133;6.4;19
A Month of Sundays;0;Drama | Comedy;en;2016-04-28;0;109;6.0;4
City 40;0;Documentary | History | War;en;2016-04-28;0;89;6.1;9
Traceroute;10000;Comedy | Documentary;en;2016-04-28;0;120;8.7;4
Kills on Wheels;0;Action | Drama | Comedy;hu;2016-04-28;0;105;8.0;4
The Rift;0;Thriller | Horror | Science Fiction;en;2016-04-28;0;90;4.3;12
Captain America - Civil War;250000000;Adventure | Action | Science Fiction;en;2016-04-27;1153304495;147;7.1;7462
A Dragon Arrives!;0;;fa;2016-04-27;0;107;3.9;6
The Sea of Trees;0;Drama;en;2016-04-27;0;110;6.3;133
The Assignment;5000000;Action | Crime | Thriller;en;2016-04-27;0;95;4.9;74
Guernica;6229577;Drama | War | Romance;en;2016-04-26;0;110;5.3;41
Summer of 8;0;Drama | Comedy;en;2016-04-26;0;88;7.4;18
Enter the Battlefield - Life on the Magic - The Gathering Pro Tour;0;Documentary;en;2016-04-26;0;65;6.5;4
Population Zero;0;Crime | Mystery | Thriller;en;2016-04-26;0;84;5.0;10
Rumbos;0;Comedy | Romance;es;2016-04-24;0;93;6.3;18
Ghostheads;0;Documentary;en;2016-04-23;0;100;6.4;8
The Night My Mother Killed My Father;0;Comedy;es;2016-04-23;0;94;6.3;25
Lemonade;0;Music;en;2016-04-23;0;65;8.8;45
Rachel Feinstein - Only Whores Wear Purple;0;Comedy;en;2016-04-23;0;52;0.0;0
American Wrestler - The Wizard;0;Drama;en;2016-04-23;0;117;7.8;6
Yu-Gi-Oh! - The Dark Side of Dimensions;0;Adventure | Animation;ja;2016-04-23;1015339;120;6.8;29
Bastille Day;20000000;Action;en;2016-04-22;14397593;92;6.0;378
Paradox;0;Action | Science Fiction;en;2016-04-22;0;90;5.0;34
Special Correspondents;0;Comedy;en;2016-04-22;0;100;5.6;159
Patton Oswalt - Talking for Clapping;0;Comedy;en;2016-04-22;0;66;6.9;15
Holidays;0;Comedy | Horror;en;2016-04-22;0;105;4.8;120
Kicking Off;0;Comedy;en;2016-04-22;0;85;4.5;2
A Hologram for the King;30000000;Comedy | Drama;en;2016-04-22;4212494;97;5.8;347
The ReZort;0;Horror;en;2016-04-22;0;87;5.5;87
Nil Battey Sannata;0;Drama;hi;2016-04-22;0;96;6.8;8
Toro;4000000;Drama | Crime | Thriller;es;2016-04-22;0;105;5.5;40
Nina;0;Drama | Music;en;2016-04-22;0;90;5.7;22
The Unbidden;0;Thriller | Horror | Mystery;en;2016-04-22;0;84;3.0;1
On Football;0;Drama | Documentary;pt;2016-04-21;0;68;7.3;3
The Veil;4000000;Horror;en;2016-04-21;0;93;4.4;123
Keanu;15000000;Action | Comedy;en;2016-04-21;20566327;94;6.0;434
At the End of the Tunnel;0;Crime | Thriller;es;2016-04-21;0;120;6.7;68
Flight Crew;10000000;Drama | Action;ru;2016-04-21;27305571;138;6.8;47
The Day Will Come;4750000;Drama;da;2016-04-21;0;110;8.2;15
Nise - The Heart of Madness;0;Drama;pt;2016-04-21;0;106;7.6;19
The Confessions;0;Drama | Thriller;it;2016-04-21;0;103;5.5;25
Food Choices;0;Documentary;en;2016-04-21;0;90;8.2;19
After the Reality;0;Comedy | Drama | Family;en;2016-04-21;0;85;6.0;2
The Son of Joseph;0;Comedy | Drama;fr;2016-04-20;0;115;6.5;4
Roommates Wanted;0;Comedy;fr;2016-04-20;0;97;6.3;133
A.R.C.H.I.E.;0;Family;en;2016-04-19;0;88;4.3;3
Team Foxcatcher;0;Documentary;en;2016-04-18;0;91;7.3;36
Vincent N Roxxy;5000000;Drama | Crime | Thriller;en;2016-04-18;0;110;5.6;21
The Last Laugh;0;Documentary;en;2016-04-18;0;89;0.0;0
Between Us;0;Drama | Comedy | Romance;en;2016-04-18;0;93;5.0;7
Daniel Tosh - People Pleaser;0;Comedy;en;2016-04-17;0;62;4.0;2
Rebirth;0;Thriller;en;2016-04-17;0;101;5.0;38
Confirmation;0;Drama | History;en;2016-04-16;0;110;6.9;56
The Family Fang;0;Comedy | Drama | Mystery;en;2016-04-16;262921;105;5.8;92
Love by Chance;0;Romance | TV Movie;en;2016-04-16;0;84;5.5;19
King Cobra;0;Crime | Drama;en;2016-04-16;0;92;5.9;118
Burn Country;0;Drama | Thriller | War;en;2016-04-16;0;102;5.3;12
The Happy Film;0;Documentary;en;2016-04-16;0;95;6.0;1
Bugs;0;Documentary;da;2016-04-16;0;75;0.0;0
Shadow World;0;Documentary;en;2016-04-16;0;94;8.3;4
Burden;0;Documentary;en;2016-04-16;0;88;6.0;1
Green Room;5000000;Horror | Crime | Thriller;en;2016-04-15;3220371;95;6.7;696
Fan;16000000;Action | Drama | Thriller;hi;2016-04-15;29251596;142;6.2;73
Barbershop - The Next Cut;20000000;Comedy;en;2016-04-15;55030051;112;6.2;171
Southwest of Salem - The Story of the San Antonio Four;0;Documentary;en;2016-04-15;0;91;6.3;3
The Adderall Diaries;0;Action | Drama | Thriller;en;2016-04-15;13191;105;5.1;47
The First Monday in May;0;Documentary;en;2016-04-15;0;91;7.6;9
Fear, Inc.;0;Horror | Comedy;en;2016-04-15;0;92;5.6;51
A Sunday Kind of Love;0;Drama | Fantasy | Romance;en;2016-04-15;0;93;6.6;9
Criminal;31500000;Action;en;2016-04-14;14708696;113;5.8;566
Dreamland;0;Romance | Comedy | Drama;en;2016-04-14;0;89;7.3;3
I Am Wrath;18000000;Action | Crime | Drama | Thriller;en;2016-04-14;0;92;4.5;180
Wild;0;Drama;de;2016-04-14;0;97;6.4;18
Kóblic;3500000;Drama | Thriller;es;2016-04-14;0;92;6.3;15
The American Side;0;Mystery | Drama | Thriller;en;2016-04-14;0;103;4.8;16
Loop;0;Crime | Thriller | Science Fiction;hu;2016-04-14;0;95;0.0;0
Fritz Lang;0;Drama;de;2016-04-14;0;104;5.0;4
Time Renegades;0;Thriller | Romance;ko;2016-04-13;0;107;7.4;15
Love, Lies;120;Romance | History | Drama;ko;2016-04-13;0;120;7.7;5
The Bandit Hound;3000000;Comedy;es;2016-04-12;0;87;8.0;2
The Student;0;Drama;ru;2016-04-12;0;118;6.3;25
The Congressman;0;Drama;en;2016-04-09;0;98;5.7;3
Nikki Glaser - Perfect;0;Comedy;en;2016-04-09;0;62;7.0;3
One More Time;0;Comedy | Music | Drama;en;2016-04-08;0;98;5.9;16
The Man Who Knew Infinity;0;Drama;en;2016-04-08;11472454;108;7.2;314
Hannibal Buress - Hannibal Takes Edinburgh;0;;en;2016-04-08;0;80;6.5;4
Julieta;1490000;Drama | Romance;es;2016-04-08;0;96;7.0;246
Grand Hotel;0;Comedy | Drama;no;2016-04-08;0;90;3.9;5
I Am Belfast;0;Documentary;en;2016-04-08;0;84;7.5;4
The Days That Confused;566000;Comedy | Drama;et;2016-04-08;0;105;7.0;2
High Strung;0;Drama | Music | Romance;en;2016-04-08;53447;96;7.1;256
My Name Is Emily;0;Drama;en;2016-04-08;0;94;6.7;3
Night of Something Strange;40000;Comedy | Horror;en;2016-04-08;0;97;6.1;19
Maalik;0;Action | Drama;en;2016-04-08;0;155;6.9;5
The Jungle Book;175000000;Family | Adventure | Drama | Fantasy;en;2016-04-07;966550600;106;6.7;2977
Italian Race;0;Drama;it;2016-04-07;0;119;7.7;187
The Boss;29000000;Comedy;en;2016-04-07;78636257;91;5.5;441
Before I Wake;0;Drama | Fantasy | Horror | Thriller;en;2016-04-07;3295624;97;6.2;416
Trivisa;0;Drama | Crime | Thriller;cn;2016-04-07;0;96;7.0;16
Demolition;10000000;Comedy | Drama;en;2016-04-06;1978592;101;6.6;661
Money;0;Crime | Thriller;en;2016-04-06;0;86;5.6;20
Couple in a Hole;0;Thriller | Drama;en;2016-04-06;0;105;5.8;8
Stealing Cars;0;Drama;en;2016-04-05;0;94;6.4;15
The Meddler;3200000;Comedy | Drama;en;2016-04-05;4267218;100;6.0;89
Countdown;0;Thriller | Action | Crime | Mystery;en;2016-04-05;0;90;5.0;18
Temps;0;Romance | Comedy;en;2016-04-05;0;95;5.3;23
Cheerleader;0;;en;2016-04-04;0;70;0.0;0
Beep - A Documentary History of Game Sound;0;Documentary;en;2016-04-04;0;115;4.5;2
Observance;0;Thriller | Horror | Mystery;en;2016-04-03;0;90;5.4;12
Sniper - Special Ops;0;Action | War;en;2016-04-03;0;84;5.0;25
All Yours;0;TV Movie | Romance | Drama | Comedy;en;2016-04-02;0;84;4.6;5
Secret Summer;0;TV Movie | Romance | Family;en;2016-04-02;0;88;4.8;3
Mammal;0;Drama;en;2016-04-01;0;99;10.0;1
My Beloved Bodyguard;0;Action | Drama;cn;2016-04-01;0;99;5.9;17
Chongqing Hot Pot;0;Drama;zh;2016-04-01;0;97;6.2;16
Dead 7;0;Comedy | Horror | Western;en;2016-04-01;0;89;4.2;23
Meet the Blacks;0;Comedy | Horror;en;2016-04-01;0;90;4.5;64
Ki and Ka;0;Comedy | Romance;hi;2016-04-01;0;126;6.7;16
The Amityville Terror;500000;Horror;en;2016-04-01;0;84;4.4;11
Finding Altamira;9500000;Drama | History;en;2016-04-01;0;97;5.7;37
Black Mountain Poets;0;Drama | Comedy;en;2016-04-01;0;87;6.6;7
Sold;0;Drama;en;2016-04-01;0;97;7.2;12
Abbey Grace;0;Horror;en;2016-04-01;0;83;5.0;5
Hunt for the Wilderpeople;0;Drama | Adventure | Comedy;en;2016-03-31;0;101;7.8;453
Suntan;0;Comedy | Drama;el;2016-03-31;0;104;6.1;10
Aloys;0;Drama | Fantasy;de;2016-03-31;0;90;7.7;15
The Mobfathers;0;Crime | Drama;cn;2016-03-31;0;94;6.0;11
Compadres;3000000;Action | Comedy;es;2016-03-31;0;101;5.2;17
One Kiss;0;Romance | Comedy;it;2016-03-31;0;101;7.1;88
Paranormal Drive;0;Crime | Horror;ru;2016-03-31;0;85;6.4;4
SelfieParty;0;Comedy;uk;2016-03-31;0;90;0.0;0
Everybody Wants Some!!;10000000;Comedy;en;2016-03-30;3400278;116;6.3;419
Five;0;Comedy;fr;2016-03-30;0;102;7.2;306
A Monster with a Thousand Heads;0;Drama | Thriller;es;2016-03-30;0;74;5.9;11
Justice League vs. Teen Titans;0;Action | Animation;en;2016-03-29;0;78;6.8;177
Smothered;0;Horror | Comedy;en;2016-03-29;0;96;3.4;8
Maigret Sets a Trap;0;Drama | Crime | Mystery;en;2016-03-28;0;120;6.9;26
Friday;0;Comedy;ru;2016-03-26;0;87;6.0;11
A Bride for Rip Van Winkle;0;Drama;ja;2016-03-26;0;179;6.7;11
Get a Job;8000000;Comedy;en;2016-03-25;0;93;5.2;217
Too Late;0;Drama;en;2016-03-25;7000;108;7.5;16
Fastball;0;Documentary;en;2016-03-25;0;87;7.0;15
American Hostage;0;Thriller | Crime | Drama;en;2016-03-25;0;100;10.0;1
The Whole Truth;0;Drama | Thriller;en;2016-03-25;0;93;6.3;202
Bleed;550000;Horror | Thriller;en;2016-03-25;0;82;4.3;17
Murderous Tales;0;Animation;cs;2016-03-24;0;80;0.0;0
Miss India America;0;Family | Comedy | Drama;en;2016-03-24;0;95;3.7;4
Cameron Esposito - Marriage Material;0;Comedy;en;2016-03-24;0;72;7.0;1
Batman v Superman - Dawn of Justice;250000000;Action | Adventure | Fantasy;en;2016-03-23;873260194;151;5.7;7189
Rosalie Blum;0;Comedy;fr;2016-03-23;0;97;6.5;48
Kaili Blues;0;Mystery | Drama;zh;2016-03-23;0;113;7.4;14
My Big Fat Greek Wedding 2;18000000;Romance | Comedy | Family;en;2016-03-23;88923251;94;5.6;328
The Country Doctor;0;Drama | Comedy;fr;2016-03-23;0;102;6.0;67
Endless Poetry;0;Fantasy | Drama;es;2016-03-23;0;130;7.7;27
The Visitors - Bastille Day;25868826;Comedy;fr;2016-03-23;0;110;4.0;167
Batman - Bad Blood;3500000;Action | Animation | Science Fiction;en;2016-03-22;0;72;6.8;186
Spring Broke;0;Documentary;en;2016-03-22;0;78;6.0;2
50 Kilos of Sour Cherry;0;Family | Drama | Comedy;fa;2016-03-22;0;89;0.0;0
Stephen Lynch - Hello Kalamazoo;0;Music | Comedy;en;2016-03-21;0;92;10.0;1
Miles Ahead;0;Drama | Music;en;2016-03-20;3460466;100;6.7;74
The Bridge Part 2;0;TV Movie | Drama;en;2016-03-20;0;85;5.6;7
Steve-O - Guilty as Charged;0;Comedy;en;2016-03-20;0;50;6.2;5
Krisha;0;Comedy | Drama;en;2016-03-18;140779;81;6.5;49
Take Me to the River;0;Drama;en;2016-03-18;0;90;6.2;9
The Confirmation;0;Comedy;en;2016-03-18;0;101;6.3;52
Jimmy Carr - Funny Business;0;Comedy;en;2016-03-18;0;62;6.9;24
The Birth of Saké;0;Documentary;ja;2016-03-18;0;90;7.4;14
The Preppie Connection;0;Drama | Crime;en;2016-03-18;0;110;7.1;29
My Beautiful Broken Brain;0;Documentary;en;2016-03-18;0;84;7.2;23
No Letting Go;500000;;en;2016-03-18;0;104;8.3;3
Miracles from Heaven;16000000;Drama;en;2016-03-17;73883359;117;6.8;191
Me casé con un boludo;0;Comedy | Romance;es;2016-03-17;0;110;6.0;12
Scare Campaign;0;Horror;en;2016-03-17;0;76;6.2;36
The Belko Experiment;5000000;Action | Horror | Thriller;en;2016-03-17;0;88;6.1;269
SuperBobrovs;0;Comedy;ru;2016-03-17;0;95;6.1;12
Things to Come;2100000;Drama;fr;2016-03-16;282382;102;6.5;70
What a Wonderful Family!;0;Comedy | Family;ja;2016-03-16;0;108;7.0;6
Life+1 Day;0;Drama | Thriller;fa;2016-03-16;0;110;9.4;8
Ogres;0;Drama;fr;2016-03-16;0;142;7.3;14
The Pass;0;Drama;en;2016-03-16;0;87;7.2;23
The Art of Organized Noize;0;Music | Documentary;en;2016-03-15;0;99;8.0;5
The Unfolding;0;Mystery | Horror | Thriller;en;2016-03-14;0;87;4.0;10
Rainbow Time;0;Comedy | Drama;en;2016-03-14;0;91;5.8;4
Jack Goes Home;0;Drama | Thriller | Horror;en;2016-03-14;0;100;5.1;21
Orange Sunshine;0;Documentary;en;2016-03-14;0;105;7.3;3
Fantastic Lies;0;Documentary;en;2016-03-13;0;103;4.5;2
Tower;0;Animation | Crime | Documentary;en;2016-03-13;0;83;8.1;50
The Alchemist Cookbook;0;Drama | Horror;en;2016-03-13;0;82;4.1;8
